Security,Symbol,SEC filings,GICS Sector,GICS Sub Industry,Headquarters Location,Date first added,CIK,Founded
Arthur J. Gallagher & Co.,AJG,reports,Financials,Insurance Brokers,"Itasca, Illinois",2016-05-31,354190,""
Assurant,AIZ,reports,Financials,Multi-line Insurance,"New York, New York",2007-04-10,1267238,""
Atmos Energy Corp,ATO,reports,Utilities,Gas Utilities,"Dallas, Texas",2019-02-15,731802,1906
AT&T Inc.,T,reports,Communication Services,Integrated Telecommunication Services,"Dallas, Texas",1983-11-30,732717,1983
Autodesk Inc.,ADSK,reports,Information Technology,Application Software,"San Rafael, California",1989-12-01,769397,""
Automatic Data Processing,ADP,reports,Information Technology,Internet Software & Services,"Roseland, New Jersey",1981-03-31,8670,""
AutoZone Inc,AZO,reports,Consumer Discretionary,Specialty Stores,"Memphis, Tennessee",1997-01-02,866787,""
"AvalonBay Communities, Inc.",AVB,reports,Real Estate,Residential REITs,"Arlington, Virginia[3]",2007-01-10,915912,""
Avery Dennison Corp,AVY,reports,Materials,Paper Packaging,"Glendale, California",1987-12-31,8818,""
"Baker Hughes, a GE Company",BHGE,reports,Energy,Oil & Gas Equipment & Services,"Houston, Texas","",1701605,2017
Ball Corp,BLL,reports,Materials,Metal & Glass Containers,"Broomfield, Colorado",1984-10-31,9389,""
Bank of America Corp,BAC,reports,Financials,Diversified Banks,"Charlotte, North Carolina",1976-06-30,70858,""
The Bank of New York Mellon Corp.,BK,reports,Financials,Asset Management & Custody Banks,"New York, New York",1995-03-31,1390777,""
Baxter International Inc.,BAX,reports,Health Care,Health Care Equipment,"Deerfield, Illinois",1972-09-30,10456,1931
BB&T Corporation,BBT,reports,Financials,Regional Banks,"Winston-Salem, North Carolina",1997-12-04,92230,""
Becton Dickinson,BDX,reports,Health Care,Health Care Equipment,"Franklin Lakes, New Jersey",1972-09-30,10795,1897
Berkshire Hathaway,BRK.B,reports,Financials,Multi-Sector Holdings,"Omaha, Nebraska",2010-02-16,1067983,""
Best Buy Co. Inc.,BBY,reports,Consumer Discretionary,Computer & Electronics Retail,"Richfield, Minnesota",1999-06-29,764478,""
Biogen Inc.,BIIB,reports,Health Care,Biotechnology,"Weston, Massachusetts",2003-11-13,875045,""
BlackRock,BLK,reports,Financials,Asset Management & Custody Banks,"New York, New York",2011-04-04,1364742,""
Block H&R,HRB,reports,Consumer Discretionary,Specialized Consumer Services,"Kansas City, Missouri",1986-11-30,12659,""
Boeing Company,BA,reports,Industrials,Aerospace & Defense,"Chicago, Illinois","",12927,1916
Booking Holdings Inc,BKNG,reports,Consumer Discretionary,Internet & Direct Marketing Retail,"Norwalk, Connecticut",2009-11-06,1075531,""
BorgWarner,BWA,reports,Consumer Discretionary,Auto Parts & Equipment,"Auburn Hills, Michigan",2011-12-19,908255,""
Boston Properties,BXP,reports,Real Estate,Office REITs,"Boston, Massachusetts",2006-04-03,1037540,""
Boston Scientific,BSX,reports,Health Care,Health Care Equipment,"Marlborough, Massachusetts[4]",1995-02-24,885725,""
Brighthouse Financial Inc,BHF,reports,Financials,Life & Health Insurance,"Charlotte, North Carolina",2017-08-08,1685040,""
Bristol-Myers Squibb,BMY,reports,Health Care,Health Care Distributors,"New York, New York","",14272,1989
Broadcom,AVGO,reports,Information Technology,Semiconductors,"San Jose, California",2014-05-08,1441634,""
Broadridge Financial Solutions,BR,reports,Information Technology,Data Processing & Outsourced Services,"Lake Success, New York",2018-06-18,1383312,1962
Brown-Forman Corp.,BF.B,reports,Consumer Staples,Distillers & Vintners,"Louisville, Kentucky",1982-10-31,14693,""
C. H. Robinson Worldwide,CHRW,reports,Industrials,Air Freight & Logistics,"Eden Prairie, Minnesota",2007-03-02,1043277,""
Cabot Oil & Gas,COG,reports,Energy,Oil & Gas Exploration & Production,"Houston, Texas",2008-06-23,858470,""
Cadence Design Systems,CDNS,reports,Information Technology,Application Software,"San Jose, California",2017-09-18,813672,""
Campbell Soup,CPB,reports,Consumer Staples,Packaged Foods & Meats,"Camden, New Jersey","",16732,1869
Capital One Financial,COF,reports,Financials,Consumer Finance,"Tysons Corner, Virginia",1998-07-01,927628,1935
Capri Holdings,CPRI,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",2013-11-13,1530721,""
Cardinal Health Inc.,CAH,reports,Health Care,Health Care Distributors,"Dublin, Ohio",1997-05-27,721371,""
Carmax Inc,KMX,reports,Consumer Discretionary,Specialty Stores,"Richmond, Virginia",2010-06-28,1170010,""
Carnival Corp.,CCL,reports,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",1998-12-22,815097,""
Caterpillar Inc.,CAT,reports,Industrials,Construction Machinery & Heavy Trucks,"Peoria, Illinois","",18230,1925
Cboe Global Markets,CBOE,reports,Financials,Financial Exchanges & Data,"Chicago, Illinois",2017-03-01,1374310,""
CBRE Group,CBRE,reports,Real Estate,Real Estate Services,"Los Angeles, California",2006-11-10,1138118,""
CBS Corp.,CBS,reports,Communication Services,Broadcasting,"New York, New York",1994-09-01,813828,2006
Celanese Corp.,CE,reports,Materials,Specialty Chemicals,"Irving, Texas",2018-12-24,1306830,""
Celgene Corp.,CELG,reports,Health Care,Biotechnology,"Summit, New Jersey",2006-11-06,816284,""
Centene Corporation,CNC,reports,Health Care,Managed Health Care,"St Louis, Missouri",2016-03-30,1071739,""
CenterPoint Energy,CNP,reports,Utilities,Multi-Utilities,"Houston, Texas",1985-07-31,1130310,""
CenturyLink Inc,CTL,reports,Communication Services,Integrated Telecommunication Services,"Monroe, Louisiana",1999-03-25,18926,""
Cerner,CERN,reports,Health Care,Health Care Technology,"North Kansas City, Missouri",2010-04-30,804753,""
CF Industries Holdings Inc,CF,reports,Materials,Fertilizers & Agricultural Chemicals,"Deerfield, Illinois",2008-08-27,1324404,""
Charles Schwab Corporation,SCHW,reports,Financials,Investment Banking & Brokerage,"San Francisco, California",1997-06-02,316709,""
Charter Communications,CHTR,reports,Communication Services,Cable & Satellite,"Stamford, Connecticut",2016-09-08,1091667,""
Chevron Corp.,CVX,reports,Energy,Integrated Oil & Gas,"San Ramon, California","",93410,1879
Chipotle Mexican Grill,CMG,reports,Consumer Discretionary,Restaurants,"Denver, Colorado",2011-04-28,1058090,""
Chubb Limited,CB,reports,Financials,Property & Casualty Insurance,"Zurich, Switzerland",2010-07-15,896159,""
Church & Dwight,CHD,reports,Consumer Staples,Household Products,"Ewing, New Jersey",2015-12-29,313927,""
CIGNA Corp.,CI,reports,Health Care,Managed Health Care,"Bloomfield, Connecticut",1976-06-30,701221,""
Cimarex Energy,XEC,reports,Energy,Oil & Gas Exploration & Production,"Denver, Colorado",2014-06-21,1168054,""
Cincinnati Financial,CINF,reports,Financials,Property & Casualty Insurance,"Fairfield, Ohio",1997-12-18,20286,""
Cintas Corporation,CTAS,reports,Industrials,Diversified Support Services,"Mason, Ohio",2001-03-01,723254,""
Cisco Systems,CSCO,reports,Information Technology,Communications Equipment,"San Jose, California",1993-12-01,858877,""
Citigroup Inc.,C,reports,Financials,Diversified Banks,"New York, New York",1988-05-31,831001,""
Citizens Financial Group,CFG,reports,Financials,Regional Banks,"Providence, Rhode Island",2016-01-29,759944,""
Citrix Systems,CTXS,reports,Information Technology,Internet Software & Services,"Fort Lauderdale, Florida",1999-12-01,877890,""
The Clorox Company,CLX,reports,Consumer Staples,Household Products,"Oakland, California",1969-03-31,21076,1913
CME Group Inc.,CME,reports,Financials,Financial Exchanges & Data,"Chicago, Illinois",2006-08-11,1156375,""
CMS Energy,CMS,reports,Utilities,Multi-Utilities,"Jackson, Michigan",1999-05-03,811156,""
Coca-Cola Company,KO,reports,Consumer Staples,Soft Drinks,"Atlanta, Georgia","",21344,1886
Cognizant Technology Solutions,CTSH,reports,Information Technology,IT Consulting & Other Services,"Teaneck, New Jersey",2006-11-17,1058290,""
Colgate-Palmolive,CL,reports,Consumer Staples,Household Products,"New York, New York","",21665,1806
Comcast Corp.,CMCSA,reports,Communication Services,Cable & Satellite,"Philadelphia, Pennsylvania",2015-09-18,1166691,""
Comerica Inc.,CMA,reports,Financials,Diversified Banks,"Dallas, Texas",1995-12-01,28412,""
Conagra Brands,CAG,reports,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois",1983-08-31,23217,""
Concho Resources,CXO,reports,Energy,Oil & Gas Exploration & Production,"Midland, Texas",2016-02-22,1358071,""
ConocoPhillips,COP,reports,Energy,Oil & Gas Exploration & Production,"Houston, Texas","",1163165,2002
Consolidated Edison,ED,reports,Utilities,Electric Utilities,"New York, New York","",1047862,1823
Constellation Brands,STZ,reports,Consumer Staples,Distillers & Vintners,"Victor, New York",2005-07-05,16918,""
The Cooper Companies,COO,reports,Health Care,Health Care Supplies,"Pleasanton, California",2016-09-23,711404,""
Copart Inc,CPRT,reports,Industrials,Diversified Support Services,"Dallas, Texas",2018-07-02,900075,""
Corning Inc.,GLW,reports,Information Technology,Electronic Components,"Corning, New York","",24741,1851
Costco Wholesale Corp.,COST,reports,Consumer Staples,Hypermarkets & Super Centers,"Issaquah, Washington",1993-10-01,909832,""
"Coty, Inc",COTY,reports,Consumer Staples,Personal Products,"New York, New York",2016-10-03,1024305,""
Crown Castle International Corp.,CCI,reports,Real Estate,Specialized REITs,"Houston, Texas",2012-03-14,1051470,""
CSX Corp.,CSX,reports,Industrials,Railroads,"Jacksonville, Florida",1967-09-30,277948,1980
Cummins Inc.,CMI,reports,Industrials,Industrial Machinery,"Columbus, Indiana",1965-03-31,26172,1919
CVS Health,CVS,reports,Health Care,Health Care Services,"Woonsocket, Rhode Island","",64803,1996
D. R. Horton,DHI,reports,Consumer Discretionary,Homebuilding,"Fort Worth, Texas","",882184,1978
Danaher Corp.,DHR,reports,Health Care,Health Care Equipment,"Washington, D.C.","",313616,1969
Darden Restaurants,DRI,reports,Consumer Discretionary,Restaurants,"Orlando, Florida","",940944,1938
DaVita Inc.,DVA,reports,Health Care,Health Care Facilities,"Denver, Colorado",2008-07-31,927066,""
Deere & Co.,DE,reports,Industrials,Agricultural & Farm Machinery,"Moline, Illinois","",315189,1837
Delta Air Lines Inc.,DAL,reports,Industrials,Airlines,"Atlanta, Georgia",2013-09-11,27904,""
Dentsply Sirona,XRAY,reports,Health Care,Health Care Supplies,"York, Pennsylvania",2008-11-14,818479,""
Devon Energy,DVN,reports,Energy,Oil & Gas Exploration & Production,"Oklahoma City, Oklahoma",2000-08-30,1090012,""
Diamondback Energy,FANG,reports,Energy,Oil & Gas Exploration & Production,"Midland, Texas",2018-12-03,1539838,2007
Digital Realty Trust Inc,DLR,reports,Real Estate,Specialized REITs,"San Francisco, California",2016-05-18,1297996,""
Discover Financial Services,DFS,reports,Financials,Consumer Finance,"Riverwoods, Illinois",2007-07-02,1393612,""
Discovery Inc. Class A,DISCA,reports,Communication Services,Broadcasting,"Silver Spring, Maryland",2010-03-01,1437107,""
Discovery Inc. Class C,DISCK,reports,Communication Services,Broadcasting,"Silver Spring, Maryland",2014-08-07,1437107,""
Dish Network,DISH,reports,Communication Services,Cable & Satellite,"Meridian, Colorado",2017-03-13,1001082,""
Dollar General,DG,reports,Consumer Discretionary,General Merchandise Stores,"Goodlettsville, Tennessee",2012-12-03,29534,""
Dollar Tree,DLTR,reports,Consumer Discretionary,General Merchandise Stores,"Chesapeake, Virginia",2011-12-19,935703,""
Dominion Energy,D,reports,Utilities,Electric Utilities,"Richmond, Virginia","",715957,1983
Dover Corp.,DOV,reports,Industrials,Industrial Machinery,"Downers Grove, Illinois",1985-10-31,29905,""
DowDuPont,DWDP,reports,Materials,Diversified Chemicals,"Midland, Michigan","",1666700,2017
DTE Energy Co.,DTE,reports,Utilities,Multi-Utilities,"Detroit, Michigan","",936340,1995
Duke Realty Corp,DRE,reports,Real Estate,Industrial REITs,"Indianapolis, Indiana",2017-07-26,783280,""
Duke Energy,DUK,reports,Utilities,Electric Utilities,"Charlotte, North Carolina",1976-06-30,1326160,""
DXC Technology,DXC,reports,Information Technology,IT Consulting & Other Services,"Tysons Corner, Virginia",2017-04-04,1688568,""
E*Trade,ETFC,reports,Financials,Investment Banking & Brokerage,"New York, New York",2004-03-31,1015780,""
Eastman Chemical,EMN,reports,Materials,Diversified Chemicals,"Kingsport, Tennessee",1994-01-01,915389,""
Eaton Corporation,ETN,reports,Industrials,Electrical Components & Equipment,"Dublin, Ireland","",1551182,1911
eBay Inc.,EBAY,reports,Consumer Discretionary,Internet & Direct Marketing Retail,"San Jose, California","",1065088,1995
Ecolab Inc.,ECL,reports,Materials,Specialty Chemicals,"St. Paul, Minnesota",1989-01-31,31462,""
Edison Int'l,EIX,reports,Utilities,Electric Utilities,"Rosemead, California","",827052,1886
Edwards Lifesciences,EW,reports,Health Care,Health Care Equipment,"Irvine, California",2011-04-01,1099800,""
Electronic Arts,EA,reports,Communication Services,Interactive Home Entertainment,"Redwood City, California",2002-07-22,712515,""
Emerson Electric Company,EMR,reports,Industrials,Electrical Components & Equipment,"Ferguson, Missouri",1965-03-31,32604,1890
Entergy Corp.,ETR,reports,Utilities,Electric Utilities,"New Orleans, Louisiana","",65984,1913
EOG Resources,EOG,reports,Energy,Oil & Gas Exploration & Production,"Houston, Texas",2000-11-02,821189,""
Equifax Inc.,EFX,reports,Industrials,Research & Consulting Services,"Atlanta, Georgia",1997-06-19,33185,""
Equinix,EQIX,reports,Real Estate,Specialized REITs,"Redwood City, California",2015-03-20,1101239,""
Equity Residential,EQR,reports,Real Estate,Residential REITs,"Chicago, Illinois",2001-12-03,906107,""
"Essex Property Trust, Inc.",ESS,reports,Real Estate,Residential REITs,"Palo Alto, California",2014-04-02,920522,""
Estee Lauder Cos.,EL,reports,Consumer Staples,Personal Products,"New York, New York",2006-01-05,1001250,""
Evergy,EVRG,reports,Utilities,Electric Utilities,"Kansas City, Missouri",2018-06-05,1711269,1909
Eversource Energy,ES,reports,Utilities,Multi-Utilities,"Springfield, Massachusetts","",72741,1966
Everest Re Group Ltd.,RE,reports,Financials,Reinsurance,"Hamilton, Bermuda",2017-06-19,1095073,""
Exelon Corp.,EXC,reports,Utilities,Multi-Utilities,"Chicago, Illinois","",1109357,2000
Expedia Group,EXPE,reports,Consumer Discretionary,Internet & Direct Marketing Retail,"Bellevue, Washington",2007-10-02,1324424,""
Expeditors,EXPD,reports,Industrials,Air Freight & Logistics,"Seattle, Washington",2007-10-10,746515,""
Extra Space Storage,EXR,reports,Real Estate,Specialized REITs,"Salt Lake City, Utah",2016-01-19,1289490,""
Exxon Mobil Corp.,XOM,reports,Energy,Integrated Oil & Gas,"Irving, Texas","",34088,1999
F5 Networks,FFIV,reports,Information Technology,Communications Equipment,"Seattle, Washington",2010-12-20,1048695,1996
"Facebook, Inc.",FB,reports,Communication Services,Interactive Media & Services,"Menlo Park, California",2013-12-23,1326801,""
Fastenal Co,FAST,reports,Industrials,Building Products,"Winona, Minnesota",2009-09-15,815556,""
Federal Realty Investment Trust,FRT,reports,Real Estate,Retail REITs,"Rockville, Maryland",2016-02-01,34903,""
FedEx Corporation,FDX,reports,Industrials,Air Freight & Logistics,"Memphis, Tennessee",1980-12-31,1048911,""
Fidelity National Information Services,FIS,reports,Information Technology,Internet Software & Services,"Jacksonville, Florida",2006-11-10,1136893,""
Fifth Third Bancorp,FITB,reports,Financials,Regional Banks,"Cincinnati, Ohio","",35527,1858
FirstEnergy Corp,FE,reports,Utilities,Electric Utilities,"Akron, Ohio","",1031296,1997
First Republic Bank,FRC,reports,Financials,Regional Banks,"San Francisco, California",2019-01-02,1132979,1985
Fiserv Inc,FISV,reports,Information Technology,Internet Software & Services,"Brookfield, Wisconsin",2001-04-02,798354,""
FleetCor Technologies Inc,FLT,reports,Information Technology,Data Processing & Outsources Services,"Norcross, Georgia",2018-06-20,1175454,2000
FLIR Systems,FLIR,reports,Information Technology,Electronic Equipment & Instruments,"Wilsonville, Oregon",2009-01-02,354908,""
Flowserve Corporation,FLS,reports,Industrials,Industrial Machinery,"Irving, Texas",2008-10-02,30625,""
Fluor Corp.,FLR,reports,Industrials,Construction & Engineering,"Irving, Texas",1980-03-31,1124198,""
FMC Corporation,FMC,reports,Materials,Fertilizers & Agricultural Chemicals,"Philadelphia, Pennsylvania",2009-08-19,37785,""
Foot Locker Inc,FL,reports,Consumer Discretionary,Apparel Retail,"New York, New York",2016-04-04,850209,""
Ford Motor,F,reports,Consumer Discretionary,Automobile Manufacturers,"Dearborn, Michigan","",37996,1903
Fortinet,FTNT,reports,Information Technology,Systems Software,"Sunnyvale, California",2018-10-11,1262039,2000
Fortive Corp,FTV,reports,Industrials,Industrial Machinery,"Everett, Washington",2016-07-01,1659166,""
Fortune Brands Home & Security,FBHS,reports,Industrials,Building Products,"Deerfield, Illinois",2016-06-22,1519751,""
Franklin Resources,BEN,reports,Financials,Asset Management & Custody Banks,"San Mateo, California","",38777,1947
Freeport-McMoRan Inc.,FCX,reports,Materials,Copper,"Phoenix, Arizona","",831259,1912
Gap Inc.,GPS,reports,Consumer Discretionary,Apparel Retail,"San Francisco, California",1986-08-31,39911,""
Garmin Ltd.,GRMN,reports,Consumer Discretionary,Consumer Electronics,"Schaffhausen, Switzerland",2012-12-12,1121788,""
Gartner Inc,IT,reports,Information Technology,IT Consulting & Other Services,"Stamford, Connecticut",2017-04-05,749251,""
General Dynamics,GD,reports,Industrials,Aerospace & Defense,"Falls Church, Virginia","",40533,1899
General Electric,GE,reports,Industrials,Industrial Conglomerates,"Boston, Massachusetts","",40545,1892
General Mills,GIS,reports,Consumer Staples,Packaged Foods & Meats,"Golden Valley, Minnesota",1969-03-31,40704,1856
General Motors,GM,reports,Consumer Discretionary,Automobile Manufacturers,"Detroit, Michigan",2013-06-06,1467858,""
Genuine Parts,GPC,reports,Consumer Discretionary,Specialty Stores,"Atlanta, Georgia",1973-12-31,40987,1925
Gilead Sciences,GILD,reports,Health Care,Biotechnology,"Foster City, California",2004-07-01,882095,""
Global Payments Inc.,GPN,reports,Information Technology,Data Processing & Outsourced Services,"Atlanta, Georgia",2016-04-25,1123360,""
Goldman Sachs Group,GS,reports,Financials,Investment Banking & Brokerage,"New York, New York",2002-07-22,886982,""
Grainger (W.W.) Inc.,GWW,reports,Industrials,Industrial Machinery,"Lake Forest, Illinois",1981-06-30,277135,""
Halliburton Co.,HAL,reports,Energy,Oil & Gas Equipment & Services,"Houston, Texas","",45012,1919
Hanesbrands Inc,HBI,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Winston-Salem, North Carolina",2015-03-20,1359841,""
Harley-Davidson,HOG,reports,Consumer Discretionary,Motorcycle Manufacturers,"Milwaukee, Wisconsin","",793952,1903
Harris Corporation,HRS,reports,Industrials,Aerospace & Defense,"Melbourne, Florida",2008-09-22,202058,""
Hartford Financial Svc.Gp.,HIG,reports,Financials,Property & Casualty Insurance,"Hartford, Connecticut","",874766,""
Hasbro Inc.,HAS,reports,Consumer Discretionary,Leisure Products,"Pawtucket, Rhode Island",1984-09-30,46080,""
HCA Holdings,HCA,reports,Health Care,Health Care Facilities,"Nashville, Tennessee",2015-01-27,860730,""
HCP Inc.,HCP,reports,Real Estate,Health Care REITs,"Long Beach, California",2008-03-31,765880,""
Helmerich & Payne,HP,reports,Energy,Oil & Gas Drilling,"Tulsa, Oklahoma[5]",2010-03-01,46765,""
Henry Schein,HSIC,reports,Health Care,Health Care Distributors,"Melville, New York",2015-03-17,1000228,""
The Hershey Company,HSY,reports,Consumer Staples,Packaged Foods & Meats,"Hershey, Pennsylvania","",47111,1894
Hess Corporation,HES,reports,Energy,Integrated Oil & Gas,"New York, New York",1984-05-31,4447,""
Hewlett Packard Enterprise,HPE,reports,Information Technology,"Technology Hardware, Storage & Peripherals","Palo Alto, California",2015-11-02,1645590,""
Hilton Worldwide Holdings Inc,HLT,reports,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Tysons Corner, Virginia",2017-06-19,1585689,""
HollyFrontier Corp,HFC,reports,Energy,Oil & Gas Refining & Marketing,"Dallas, Texas",2018-06-18,48039,""
Hologic,HOLX,reports,Health Care,Health Care Equipment,"Marlborough, Massachusetts",2016-03-30,859737,""
Home Depot,HD,reports,Consumer Discretionary,Home Improvement Retail,"Atlanta, Georgia",1988-03-31,354950,""
Honeywell Int'l Inc.,HON,reports,Industrials,Industrial Conglomerates,"Morristown, New Jersey",1964-03-31,773840,1906
Hormel Foods Corp.,HRL,reports,Consumer Staples,Packaged Foods & Meats,"Austin, Minnesota",2009-03-04,48465,""
Host Hotels & Resorts,HST,reports,Real Estate,Hotel & Resort REITs,"Bethesda, Maryland",2007-03-20,1070750,""
HP Inc.,HPQ,reports,Information Technology,"Technology Hardware, Storage & Peripherals","Palo Alto, California",1974-12-31,47217,1939 (2015)
Humana Inc.,HUM,reports,Health Care,Managed Health Care,"Louisville, Kentucky","",49071,1961
Huntington Bancshares,HBAN,reports,Financials,Regional Banks,"Columbus, Ohio","",49196,1866
Huntington Ingalls Industries,HII,reports,Industrials,Aerospace & Defense,"Newport News, Virginia",2018-01-03,1501585,""
IDEXX Laboratories,IDXX,reports,Health Care,Health Care Equipment,"Westbrook, Maine",2017-01-05,874716,""
IHS Markit Ltd.,INFO,reports,Industrials,Research & Consulting Services,"London, United Kingdom",2017-06-02,1598014,""
Illinois Tool Works,ITW,reports,Industrials,Industrial Machinery,"Glenview, Illinois",1986-02-28,49826,""
Illumina Inc,ILMN,reports,Health Care,Life Sciences Tools & Services,"San Diego, California",2015-11-19,1110803,""
